功能编号,产品功能,PRD分册,主要依据（相对项目根目录）,备注
SET-04,自动准备进度,02-账号工作区与首次使用.md,frontend/src/pages/SetupWizardPage.tsx；frontend/src/pages/SettingsPage.tsx；frontend/src/api/platformSetup.ts,成熟度与原型边界见所属分册
SET-05,失败重试与继续,02-账号工作区与首次使用.md,frontend/src/pages/SetupWizardPage.tsx；frontend/src/pages/SettingsPage.tsx；frontend/src/api/platformSetup.ts,成熟度与原型边界见所属分册
SET-06,设置总览,02-账号工作区与首次使用.md,frontend/src/pages/SetupWizardPage.tsx；frontend/src/pages/SettingsPage.tsx；frontend/src/api/platformSetup.ts,成熟度与原型边界见所属分册
DSC-01,需求分析,03-仓库资产与发现.md,docs/development/full-loop-gui-design-20260812.md；frontend/src/components/DiscoveryPanel.tsx；frontend/src/components/DiscoveryApproval.tsx,成熟度与原型边界见所属分册
DSC-02,候选仓库评分,03-仓库资产与发现.md,docs/development/full-loop-gui-design-20260812.md；frontend/src/components/DiscoveryPanel.tsx；frontend/src/components/DiscoveryApproval.tsx,成熟度与原型边界见所属分册
DSC-03,三档范围分类,03-仓库资产与发现.md,docs/development/full-loop-gui-design-20260812.md；frontend/src/components/DiscoveryPanel.tsx；frontend/src/components/DiscoveryApproval.tsx,成熟度与原型边界见所属分册
DSC-04,依赖复核提醒,03-仓库资产与发现.md,docs/development/full-loop-gui-design-20260812.md；frontend/src/components/DiscoveryPanel.tsx；frontend/src/components/DiscoveryApproval.tsx,成熟度与原型边界见所属分册
DSC-05,范围确认,03-仓库资产与发现.md,docs/development/full-loop-gui-design-20260812.md；frontend/src/components/DiscoveryPanel.tsx；frontend/src/components/DiscoveryApproval.tsx,成熟度与原型边界见所属分册
DSC-06,分析失败恢复,03-仓库资产与发现.md,docs/development/full-loop-gui-design-20260812.md；frontend/src/components/DiscoveryPanel.tsx；frontend/src/components/DiscoveryApproval.tsx,成熟度与原型边界见所属分册
REP-01,仓库与组织接入,03-仓库资产与发现.md,frontend/src/pages/RepositoriesPage.tsx；frontend/src/components/AddRepositoryCard.tsx；frontend/src/components/RepositoryProfileDialog.tsx；frontend/src/components/RepositoryVerificationDialog.tsx；src/repomesh/modules/repository_intelligence/README.md,成熟度与原型边界见所属分册
REP-02,批量扫描进度,03-仓库资产与发现.md,frontend/src/pages/RepositoriesPage.tsx；frontend/src/components/AddRepositoryCard.tsx；frontend/src/components/RepositoryProfileDialog.tsx；frontend/src/components/RepositoryVerificationDialog.tsx；src/repomesh/modules/repository_intelligence/README.md,成熟度与原型边界见所属分册
REP-03,整体重新扫描,03-仓库资产与发现.md,frontend/src/pages/RepositoriesPage.tsx；frontend/src/components/AddRepositoryCard.tsx；frontend/src/components/RepositoryProfileDialog.tsx；frontend/src/components/RepositoryVerificationDialog.tsx；src/repomesh/modules/repository_intelligence/README.md,成熟度与原型边界见所属分册
REP-04,仓库列表与画像,03-仓库资产与发现.md,frontend/src/pages/RepositoriesPage.tsx；frontend/src/components/AddRepositoryCard.tsx；frontend/src/components/RepositoryProfileDialog.tsx；frontend/src/components/RepositoryVerificationDialog.tsx；src/repomesh/modules/repository_intelligence/README.md,成熟度与原型边界见所属分册
REP-05,依赖关系与发现证据,03-仓库资产与发现.md,frontend/src/pages/RepositoriesPage.tsx；frontend/src/components/AddRepositoryCard.tsx；frontend/src/components/RepositoryProfileDialog.tsx；frontend/src/components/RepositoryVerificationDialog.tsx；src/repomesh/modules/repository_intelligence/README.md,成熟度与原型边界见所属分册
REP-06,团队与能力档案,03-仓库资产与发现.md,frontend/src/pages/RepositoriesPage.tsx；frontend/src/components/AddRepositoryCard.tsx；frontend/src/components/RepositoryProfileDialog.tsx；frontend/src/components/RepositoryVerificationDialog.tsx；src/repomesh/modules/repository_intelligence/README.md,成熟度与原型边界见所属分册
REP-07,仓库验证配置,03-仓库资产与发现.md,frontend/src/pages/RepositoriesPage.tsx；frontend/src/components/AddRepositoryCard.tsx；frontend/src/components/RepositoryProfileDialog.tsx；frontend/src/components/RepositoryVerificationDialog.tsx；src/repomesh/modules/repository_intelligence/README.md,成熟度与原型边界见所属分册
PLN-01,集成计划生成,04-需求规格与计划.md,frontend/src/components/PlanDagPanel.tsx；frontend/src/components/MaterializeModal.tsx；docs/development/dynamic-plan-revision-spec.md；src/repomesh/modules/change_control/README.md；src/repomesh/modules/change_orchestration/README.md,成熟度与原型边界见所属分册
PLN-02,依赖图与计划纸面,04-需求规格与计划.md,frontend/src/components/PlanDagPanel.tsx；frontend/src/components/MaterializeModal.tsx；docs/development/dynamic-plan-revision-spec.md；src/repomesh/modules/change_control/README.md；src/repomesh/modules/change_orchestration/README.md,成熟度与原型边界见所属分册
PLN-03,开工预览,04-需求规格与计划.md,frontend/src/components/PlanDagPanel.tsx；frontend/src/components/MaterializeModal.tsx；docs/development/dynamic-plan-revision-spec.md；src/repomesh/modules/change_control/README.md；src/repomesh/modules/change_orchestration/README.md,成熟度与原型边界见所属分册
PLN-04,执行进度,04-需求规格与计划.md,frontend/src/components/PlanDagPanel.tsx；frontend/src/components/MaterializeModal.tsx；docs/development/dynamic-plan-revision-spec.md；src/repomesh/modules/change_control/README.md；src/repomesh/modules/change_orchestration/README.md,成熟度与原型边界见所属分册
PLN-05,局部重新规划,04-需求规格与计划.md,frontend/src/components/PlanDagPanel.tsx；frontend/src/components/MaterializeModal.tsx；docs/development/dynamic-plan-revision-spec.md；src/repomesh/modules/change_control/README.md；src/repomesh/modules/change_orchestration/README.md,成熟度与原型边界见所属分册
PLN-06,增量追加工作,04-需求规格与计划.md,frontend/src/components/PlanDagPanel.tsx；frontend/src/components/MaterializeModal.tsx；docs/development/dynamic-plan-revision-spec.md；src/repomesh/modules/change_control/README.md；src/repomesh/modules/change_orchestration/README.md,成熟度与原型边界见所属分册
PLN-07,正式变更请求,04-需求规格与计划.md,frontend/src/components/PlanDagPanel.tsx；frontend/src/components/MaterializeModal.tsx；docs/development/dynamic-plan-revision-spec.md；src/repomesh/modules/change_control/README.md；src/repomesh/modules/change_orchestration/README.md,成熟度与原型边界见所属分册
REQ-01,新建需求,04-需求规格与计划.md,frontend/src/components/NewIssueModal.tsx；frontend/src/pages/IssueListPage.tsx；frontend/src/pages/IssueDetailPage.tsx,成熟度与原型边界见所属分册
REQ-02,需求文档导入,04-需求规格与计划.md,frontend/src/components/NewIssueModal.tsx；frontend/src/pages/IssueListPage.tsx；frontend/src/pages/IssueDetailPage.tsx,成熟度与原型边界见所属分册
REQ-03,草稿保护,04-需求规格与计划.md,frontend/src/components/NewIssueModal.tsx；frontend/src/pages/IssueListPage.tsx；frontend/src/pages/IssueDetailPage.tsx,成熟度与原型边界见所属分册
REQ-04,需求列表,04-需求规格与计划.md,frontend/src/components/NewIssueModal.tsx；frontend/src/pages/IssueListPage.tsx；frontend/src/pages/IssueDetailPage.tsx,成熟度与原型边界见所属分册
REQ-05,需求详情,04-需求规格与计划.md,frontend/src/components/NewIssueModal.tsx；frontend/src/pages/IssueListPage.tsx；frontend/src/pages/IssueDetailPage.tsx,成熟度与原型边界见所属分册
REQ-06,澄清与继续,04-需求规格与计划.md,frontend/src/components/NewIssueModal.tsx；frontend/src/pages/IssueListPage.tsx；frontend/src/pages/IssueDetailPage.tsx,成熟度与原型边界见所属分册
REQ-07,需求检索与筛选,04-需求规格与计划.md,frontend/src/components/NewIssueModal.tsx；frontend/src/pages/IssueListPage.tsx；frontend/src/pages/IssueDetailPage.tsx,成熟度与原型边界见所属分册
SPC-01,分层规格,04-需求规格与计划.md,src/repomesh/modules/specification/README.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
SPC-02,规格评审与冻结,04-需求规格与计划.md,src/repomesh/modules/specification/README.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
SPC-03,当前任务说明,04-需求规格与计划.md,src/repomesh/modules/specification/README.md；docs/architecture/human-supervision.md,成熟度与原型边界见所属分册
AGT-01,仓库常设团队,05-团队智能体与执行.md,CONTEXT.md；src/repomesh/modules/project/README.md；src/repomesh/modules/agent_directory/README.md；src/repomesh/modules/collaboration/README.md；frontend/src/pages/TeamsPage.tsx；frontend/src/pages/AgentsPage.tsx；frontend/src/pages/RoomView.tsx,成熟度与原型边界见所属分册
AGT-02,团队总览,05-团队智能体与执行.md,CONTEXT.md；src/repomesh/modules/project/README.md；src/repomesh/modules/agent_directory/README.md；src/repomesh/modules/collaboration/README.md；frontend/src/pages/TeamsPage.tsx；frontend/src/pages/AgentsPage.tsx；frontend/src/pages/RoomView.tsx,成熟度与原型边界见所属分册
AGT-03,智能体花名册,05-团队智能体与执行.md,CONTEXT.md；src/repomesh/modules/project/README.md；src/repomesh/modules/agent_directory/README.md；src/repomesh/modules/collaboration/README.md；frontend/src/pages/TeamsPage.tsx；frontend/src/pages/AgentsPage.tsx；frontend/src/pages/RoomView.tsx,成熟度与原型边界见所属分册
AGT-04,层级协作,05-团队智能体与执行.md,CONTEXT.md；src/repomesh/modules/project/README.md；src/repomesh/modules/agent_directory/README.md；src/repomesh/modules/collaboration/README.md；frontend/src/pages/TeamsPage.tsx；frontend/src/pages/AgentsPage.tsx；frontend/src/pages/RoomView.tsx,成熟度与原型边界见所属分册
AGT-05,双房间,05-团队智能体与执行.md,CONTEXT.md；src/repomesh/modules/project/README.md；src/repomesh/modules/agent_directory/README.md；src/repomesh/modules/collaboration/README.md；frontend/src/pages/TeamsPage.tsx；frontend/src/pages/AgentsPage.tsx；frontend/src/pages/RoomView.tsx,成熟度与原型边界见所属分册
AGT-06,房间阅读与工作视图,05-团队智能体与执行.md,CONTEXT.md；src/repomesh/modules/project/README.md；src/repomesh/modules/agent_directory/README.md；src/repomesh/modules/collaboration/README.md；frontend/src/pages/TeamsPage.tsx；frontend/src/pages/AgentsPage.tsx；frontend/src/pages/RoomView.tsx,成熟度与原型边界见所属分册
RUN-01,托管原生执行,05-团队智能体与执行.md,docs/development/agentteams-native-execution-mode-purpose-20260902.md；docs/development/local-cli-launch-readiness-requirement-20260829.md；frontend/src/pages/LocalCliPage.tsx；frontend/src/components/ProvisionTeamModal.tsx,成熟度与原型边界见所属分册
RUN-02,本地智能体执行,05-团队智能体与执行.md,docs/development/agentteams-native-execution-mode-purpose-20260902.md；docs/development/local-cli-launch-readiness-requirement-20260829.md；frontend/src/pages/LocalCliPage.tsx；frontend/src/components/ProvisionTeamModal.tsx,成熟度与原型边界见所属分册
RUN-03,开工前就绪检查,05-团队智能体与执行.md,docs/development/agentteams-native-execution-mode-purpose-20260902.md；docs/development/local-cli-launch-readiness-requirement-20260829.md；frontend/src/pages/LocalCliPage.tsx；frontend/src/components/ProvisionTeamModal.tsx,成熟度与原型边界见所属分册
RUN-04,本地启动与停止,05-团队智能体与执行.md,docs/development/agentteams-native-execution-mode-purpose-20260902.md；docs/development/local-cli-launch-readiness-requirement-20260829.md；frontend/src/pages/LocalCliPage.tsx；frontend/src/components/ProvisionTeamModal.tsx,成熟度与原型边界见所属分册
RUN-05,逐成员状态,05-团队智能体与执行.md,docs/development/agentteams-native-execution-mode-purpose-20260902.md；docs/development/local-cli-launch-readiness-requirement-20260829.md；frontend/src/pages/LocalCliPage.tsx；frontend/src/components/ProvisionTeamModal.tsx,成熟度与原型边界见所属分册
RUN-06,工作方式受控切换,05-团队智能体与执行.md,docs/development/agentteams-native-execution-mode-purpose-20260902.md；docs/development/local-cli-launch-readiness-requirement-20260829.md；frontend/src/pages/LocalCliPage.tsx；frontend/src/components/ProvisionTeamModal.tsx,成熟度与原型边界见所属分册
TSK-01,任务分配与领取,05-团队智能体与执行.md,src/repomesh/modules/agent_runtime/README.md；src/repomesh/modules/task_orchestration/README.md；frontend/src/components/AgentVerificationBlock.tsx；frontend/src/components/RedispatchModal.tsx；docs/startup-records/2026-09-06-live-mock-chain.md,成熟度与原型边界见所属分册
TSK-02,批次与并行,05-团队智能体与执行.md,src/repomesh/modules/agent_runtime/README.md；src/repomesh/modules/task_orchestration/README.md；frontend/src/components/AgentVerificationBlock.tsx；frontend/src/components/RedispatchModal.tsx；docs/startup-records/2026-09-06-live-mock-chain.md,成熟度与原型边界见所属分册
TSK-03,执行尝试记录,05-团队智能体与执行.md,src/repomesh/modules/agent_runtime/README.md；src/repomesh/modules/task_orchestration/README.md；frontend/src/components/AgentVerificationBlock.tsx；frontend/src/components/RedispatchModal.tsx；docs/startup-records/2026-09-06-live-mock-chain.md,成熟度与原型边界见所属分册
TSK-04,候选结果提交,05-团队智能体与执行.md,src/repomesh/modules/agent_runtime/README.md；src/repomesh/modules/task_orchestration/README.md；frontend/src/components/AgentVerificationBlock.tsx；frontend/src/components/RedispatchModal.tsx；docs/startup-records/2026-09-06-live-mock-chain.md,成熟度与原型边界见所属分册
TSK-05,队长结果初审,05-团队智能体与执行.md,src/repomesh/modules/agent_runtime/README.md；src/repomesh/modules/task_orchestration/README.md；frontend/src/components/AgentVerificationBlock.tsx；frontend/src/components/RedispatchModal.tsx；docs/startup-records/2026-09-06-live-mock-chain.md,成熟度与原型边界见所属分册
TSK-06,重派与任务范围,05-团队智能体与执行.md,src/repomesh/modules/agent_runtime/README.md；src/repomesh/modules/task_orchestration/README.md；frontend/src/components/AgentVerificationBlock.tsx；frontend/src/components/RedispatchModal.tsx；docs/startup-records/2026-09-06-live-mock-chain.md,成熟度与原型边界见所属分册
TSK-07,中断与补充输入,05-团队智能体与执行.md,src/repomesh/modules/agent_runtime/README.md；src/repomesh/modules/task_orchestration/README.md；frontend/src/components/AgentVerificationBlock.tsx；frontend/src/components/RedispatchModal.tsx；docs/startup-records/2026-09-06-live-mock-chain.md,成熟度与原型边界见所属分册
GOV-01,配置监管策略,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-02,审核人授权,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-03,策略预览与撤回,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-04,审核台待办,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-05,审核详情与证据,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-06,批准、拒绝、要求修改,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-07,需求内决策夹,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-08,审批有效性,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-09,暂停、恢复与取消,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
GOV-10,运行中策略变更,06-人工监管与审核.md,docs/architecture/human-supervision.md；docs/development/supervision-policy-design-20260814.md；frontend/src/components/SupervisionPolicyDialog.tsx；frontend/src/pages/ReviewDeskPage.tsx；frontend/src/components/ApprovalModal.tsx；frontend/src/components/DecisionDeck.tsx,成熟度与原型边界见所属分册
DBV-01,数据影响声明,07-验证与交付.md,docs/development/database-branch-validation-spec.md；docs/development/database-test-team-handoff-spec.md；docs/development/database-test-handoff-frontend-spec.md；docs/development/manager-database-task-automation-check.md；frontend/src/components/DatabaseTestHandoffPanel.tsx,成熟度与原型边界见所属分册
DBV-02,测试交接,07-验证与交付.md,docs/development/database-branch-validation-spec.md；docs/development/database-test-team-handoff-spec.md；docs/development/database-test-handoff-frontend-spec.md；docs/development/manager-database-task-automation-check.md；frontend/src/components/DatabaseTestHandoffPanel.tsx,成熟度与原型边界见所属分册
DBV-03,测试计划与返工,07-验证与交付.md,docs/development/database-branch-validation-spec.md；docs/development/database-test-team-handoff-spec.md；docs/development/database-test-handoff-frontend-spec.md；docs/development/manager-database-task-automation-check.md；frontend/src/components/DatabaseTestHandoffPanel.tsx,成熟度与原型边界见所属分册
DBV-04,隔离数据环境验证,07-验证与交付.md,docs/development/database-branch-validation-spec.md；docs/development/database-test-team-handoff-spec.md；docs/development/database-test-handoff-frontend-spec.md；docs/development/manager-database-task-automation-check.md；frontend/src/components/DatabaseTestHandoffPanel.tsx,成熟度与原型边界见所属分册
DBV-05,环境清理与证据生效,07-验证与交付.md,docs/development/database-branch-validation-spec.md；docs/development/database-test-team-handoff-spec.md；docs/development/database-test-handoff-frontend-spec.md；docs/development/manager-database-task-automation-check.md；frontend/src/components/DatabaseTestHandoffPanel.tsx,成熟度与原型边界见所属分册
DLV-01,交付组与轮次,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
DLV-02,候选评审请求,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
DLV-03,外部检查与评审跟踪,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
DLV-04,逐项交付门禁,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
DLV-05,受控合入,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
DLV-06,跨仓顺序交付,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
DLV-07,实际状态对齐,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
DLV-08,交付证据包,07-验证与交付.md,src/repomesh/modules/delivery/README.md；frontend/src/components/RoundsPanel.tsx；docs/agentic-delivery-product-brief.md,成熟度与原型边界见所属分册
VAL-01,候选审阅,07-验证与交付.md,src/repomesh/modules/review_validation/README.md；docs/development/module-test-team/module-test-team-spec-20260901.md；frontend/src/components/EvidenceModal.tsx,成熟度与原型边界见所属分册
VAL-02,独立复验,07-验证与交付.md,src/repomesh/modules/review_validation/README.md；docs/development/module-test-team/module-test-team-spec-20260901.md；frontend/src/components/EvidenceModal.tsx,成熟度与原型边界见所属分册
VAL-03,分层测试计划,07-验证与交付.md,src/repomesh/modules/review_validation/README.md；docs/development/module-test-team/module-test-team-spec-20260901.md；frontend/src/components/EvidenceModal.tsx,成熟度与原型边界见所属分册
VAL-04,不可变验证快照,07-验证与交付.md,src/repomesh/modules/review_validation/README.md；docs/development/module-test-team/module-test-team-spec-20260901.md；frontend/src/components/EvidenceModal.tsx,成熟度与原型边界见所属分册
VAL-05,证据浏览,07-验证与交付.md,src/repomesh/modules/review_validation/README.md；docs/development/module-test-team/module-test-team-spec-20260901.md；frontend/src/components/EvidenceModal.tsx,成熟度与原型边界见所属分册
VAL-06,独立测试团队,07-验证与交付.md,src/repomesh/modules/review_validation/README.md；docs/development/module-test-team/module-test-team-spec-20260901.md；frontend/src/components/EvidenceModal.tsx,成熟度与原型边界见所属分册
VAL-07,联调轮管理,07-验证与交付.md,src/repomesh/modules/review_validation/README.md；docs/development/module-test-team/module-test-team-spec-20260901.md；frontend/src/components/EvidenceModal.tsx,成熟度与原型边界见所属分册
RCV-01,统一恢复事项,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-02,自动恢复判断,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-03,恢复原会话,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-04,干净重试,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-05,同队换人,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-06,人工恢复决策,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-07,交付冲突修复,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-08,恢复过程跟踪,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-09,整组回滚预览,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-10,整组回滚执行,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
RCV-11,回滚冲突与复核,08-异常恢复与回滚.md,docs/development/unified-recovery-case-spec.md；docs/development/delivery-conflict-recovery-spec.md；docs/development/worker-failure-reassignment-spec.md；frontend/src/components/RollbackModal.tsx,成熟度与原型边界见所属分册
OBS-01,观测总览,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-02,会话轨迹,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
OBS-03,跨会话事件检索,09-观测用量与告警.md,frontend/src/pages/observe/ObserveHome.tsx；frontend/src/pages/observe/ObserveTrace.tsx；frontend/src/pages/observe/ObserveUsage.tsx；frontend/src/pages/observe/ObserveLogs.tsx；frontend/src/pages/observe/ObserveAlerts.tsx；frontend/src/components/AlertPanel.tsx,成熟度与原型边界见所属分册
